file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,fdba240f,hserykava,2025-05-02,23:16:40,-07:00,2025-05-02T23:16:40-07:00,0,5
style.css,2,css,fdba240f,hserykava,2025-05-02,23:16:40,-07:00,2025-05-02T23:16:40-07:00,0,24
style.css,3,css,2d7f3183,hserykava,2025-04-18,22:38:13,-07:00,2025-04-18T22:38:13-07:00,0,0
style.css,4,css,a036c3ce,hserykava,2025-04-04,23:26:33,-07:00,2025-04-04T23:26:33-07:00,0,5
style.css,5,css,1d7beed2,hserykava,2025-04-12,18:32:00,-07:00,2025-04-12T18:32:00-07:00,0,24
style.css,6,css,1d7beed2,hserykava,2025-04-12,18:32:00,-07:00,2025-04-12T18:32:00-07:00,0,16
style.css,7,css,1d7beed2,hserykava,2025-04-12,18:32:00,-07:00,2025-04-12T18:32:00-07:00,0,19
style.css,8,css,626b0a5e,hserykava,2025-04-18,23:20:54,-07:00,2025-04-18T23:20:54-07:00,0,24
style.css,9,css,626b0a5e,hserykava,2025-04-18,23:20:54,-07:00,2025-04-18T23:20:54-07:00,0,17
style.css,10,css,1d7beed2,hserykava,2025-04-12,18:32:00,-07:00,2025-04-12T18:32:00-07:00,0,0
style.css,11,css,a666b968,hserykava,2025-04-18,23:04:41,-07:00,2025-04-18T23:04:41-07:00,0,14
style.css,12,css,a666b968,hserykava,2025-04-18,23:04:41,-07:00,2025-04-18T23:04:41-07:00,0,18
style.css,13,css,a666b968,hserykava,2025-04-18,23:04:41,-07:00,2025-04-18T23:04:41-07:00,0,9
style.css,14,css,a666b968,hserykava,2025-04-18,23:04:41,-07:00,2025-04-18T23:04:41-07:00,0,11
style.css,15,css,a666b968,hserykava,2025-04-18,23:04:41,-07:00,2025-04-18T23:04:41-07:00,0,14
style.css,16,css,a666b968,hserykava,2025-04-18,23:04:41,-07:00,2025-04-18T23:04:41-07:00,0,20
style.css,17,css,45ed1b7e,hserykava,2025-04-18,23:18:44,-07:00,2025-04-18T23:18:44-07:00,0,29
style.css,18,css,45ed1b7e,hserykava,2025-04-18,23:18:44,-07:00,2025-04-18T23:18:44-07:00,0,14
style.css,19,css,45ed1b7e,hserykava,2025-04-18,23:18:44,-07:00,2025-04-18T23:18:44-07:00,0,13
style.css,20,css,a666b968,hserykava,2025-04-18,23:04:41,-07:00,2025-04-18T23:04:41-07:00,0,0
style.css,21,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,6
style.css,22,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,7
style.css,23,css,96149c78,hserykava,2025-04-12,18:43:08,-07:00,2025-04-12T18:43:08-07:00,0,17
style.css,24,css,96149c78,hserykava,2025-04-12,18:43:08,-07:00,2025-04-12T18:43:08-07:00,0,0
style.css,25,css,96149c78,hserykava,2025-04-12,18:43:08,-07:00,2025-04-12T18:43:08-07:00,0,4
style.css,26,css,96149c78,hserykava,2025-04-12,18:43:08,-07:00,2025-04-12T18:43:08-07:00,0,13
style.css,27,css,96149c78,hserykava,2025-04-12,18:43:08,-07:00,2025-04-12T18:43:08-07:00,0,0
style.css,28,css,731e1fac,hserykava,2025-04-12,21:05:09,-07:00,2025-04-12T21:05:09-07:00,0,6
style.css,29,css,16cb376a,hserykava,2025-04-12,21:19:54,-07:00,2025-04-12T21:19:54-07:00,0,21
style.css,30,css,16cb376a,hserykava,2025-04-12,21:19:54,-07:00,2025-04-12T21:19:54-07:00,0,14
style.css,31,css,16cb376a,hserykava,2025-04-12,21:19:54,-07:00,2025-04-12T21:19:54-07:00,0,18
style.css,32,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,14
style.css,33,css,731e1fac,hserykava,2025-04-12,21:05:09,-07:00,2025-04-12T21:05:09-07:00,0,7
style.css,34,css,731e1fac,hserykava,2025-04-12,21:05:09,-07:00,2025-04-12T21:05:09-07:00,0,0
style.css,35,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,4
style.css,36,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,18
style.css,37,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,42
style.css,38,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,0
style.css,39,css,73a44cd2,hserykava,2025-04-12,21:23:36,-07:00,2025-04-12T21:23:36-07:00,0,0
style.css,40,css,73a44cd2,hserykava,2025-04-12,21:23:36,-07:00,2025-04-12T21:23:36-07:00,0,14
style.css,41,css,73a44cd2,hserykava,2025-04-12,21:23:36,-07:00,2025-04-12T21:23:36-07:00,0,44
style.css,42,css,73a44cd2,hserykava,2025-04-12,21:23:36,-07:00,2025-04-12T21:23:36-07:00,0,21
style.css,43,css,73a44cd2,hserykava,2025-04-12,21:23:36,-07:00,2025-04-12T21:23:36-07:00,0,0
style.css,44,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,5
style.css,45,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,35
style.css,46,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,33
style.css,47,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,0
style.css,48,css,d97a6c65,hserykava,2025-04-12,21:38:47,-07:00,2025-04-12T21:38:47-07:00,0,0
style.css,49,css,d97a6c65,hserykava,2025-04-12,21:38:47,-07:00,2025-04-12T21:38:47-07:00,0,12
style.css,50,css,d97a6c65,hserykava,2025-04-12,21:38:47,-07:00,2025-04-12T21:38:47-07:00,0,46
style.css,51,css,2116af2e,hserykava,2025-04-18,22:56:08,-07:00,2025-04-18T22:56:08-07:00,0,70
style.css,52,css,d97a6c65,hserykava,2025-04-12,21:38:47,-07:00,2025-04-12T21:38:47-07:00,0,0
style.css,53,css,5bb7288d,hserykava,2025-04-12,22:24:51,-07:00,2025-04-12T22:24:51-07:00,0,5
style.css,54,css,5bb7288d,hserykava,2025-04-12,22:24:51,-07:00,2025-04-12T22:24:51-07:00,0,13
style.css,55,css,5bb7288d,hserykava,2025-04-12,22:24:51,-07:00,2025-04-12T22:24:51-07:00,0,36
style.css,56,css,5bb7288d,hserykava,2025-04-12,22:24:51,-07:00,2025-04-12T22:24:51-07:00,0,8
style.css,57,css,ae11cbe7,hserykava,2025-04-12,21:51:17,-07:00,2025-04-12T21:51:17-07:00,0,0
style.css,58,css,ae11cbe7,hserykava,2025-04-12,21:51:17,-07:00,2025-04-12T21:51:17-07:00,0,6
style.css,59,css,5bb7288d,hserykava,2025-04-12,22:24:51,-07:00,2025-04-12T22:24:51-07:00,0,13
style.css,60,css,5bb7288d,hserykava,2025-04-12,22:24:51,-07:00,2025-04-12T22:24:51-07:00,0,30
style.css,61,css,5bb7288d,hserykava,2025-04-12,22:24:51,-07:00,2025-04-12T22:24:51-07:00,0,19
style.css,62,css,5bb7288d,hserykava,2025-04-12,22:24:51,-07:00,2025-04-12T22:24:51-07:00,0,0
style.css,63,css,118cf9c3,hserykava,2025-04-12,22:31:31,-07:00,2025-04-12T22:31:31-07:00,0,5
style.css,64,css,118cf9c3,hserykava,2025-04-12,22:31:31,-07:00,2025-04-12T22:31:31-07:00,0,8
style.css,65,css,118cf9c3,hserykava,2025-04-12,22:31:31,-07:00,2025-04-12T22:31:31-07:00,0,7
style.css,66,css,118cf9c3,hserykava,2025-04-12,22:31:31,-07:00,2025-04-12T22:31:31-07:00,0,13
style.css,67,css,118cf9c3,hserykava,2025-04-12,22:31:31,-07:00,2025-04-12T22:31:31-07:00,0,11
style.css,68,css,118cf9c3,hserykava,2025-04-12,22:31:31,-07:00,2025-04-12T22:31:31-07:00,0,22
style.css,69,css,118cf9c3,hserykava,2025-04-12,22:31:31,-07:00,2025-04-12T22:31:31-07:00,0,0
style.css,70,css,5bb7288d,hserykava,2025-04-12,22:24:51,-07:00,2025-04-12T22:24:51-07:00,0,7
style.css,71,css,5bb7288d,hserykava,2025-04-12,22:24:51,-07:00,2025-04-12T22:24:51-07:00,0,19
style.css,72,css,ae11cbe7,hserykava,2025-04-12,21:51:17,-07:00,2025-04-12T21:51:17-07:00,0,0
style.css,73,css,ee5070d1,hserykava,2025-04-12,22:57:48,-07:00,2025-04-12T22:57:48-07:00,0,10
style.css,74,css,ee5070d1,hserykava,2025-04-12,22:57:48,-07:00,2025-04-12T22:57:48-07:00,0,13
style.css,75,css,ee5070d1,hserykava,2025-04-12,22:57:48,-07:00,2025-04-12T22:57:48-07:00,0,59
style.css,76,css,ee5070d1,hserykava,2025-04-12,22:57:48,-07:00,2025-04-12T22:57:48-07:00,0,0
style.css,77,css,b21d2aca,hserykava,2025-04-12,23:04:10,-07:00,2025-04-12T23:04:10-07:00,0,18
style.css,78,css,5c140397,hserykava,2025-05-02,23:22:04,-07:00,2025-05-02T23:22:04-07:00,0,13
style.css,79,css,5c140397,hserykava,2025-05-02,23:22:04,-07:00,2025-05-02T23:22:04-07:00,0,22
style.css,80,css,b21d2aca,hserykava,2025-04-12,23:04:10,-07:00,2025-04-12T23:04:10-07:00,0,8
style.css,81,css,b21d2aca,hserykava,2025-04-12,23:04:10,-07:00,2025-04-12T23:04:10-07:00,0,0
style.css,82,css,b21d2aca,hserykava,2025-04-12,23:04:10,-07:00,2025-04-12T23:04:10-07:00,0,0
style.css,83,css,b21d2aca,hserykava,2025-04-12,23:04:10,-07:00,2025-04-12T23:04:10-07:00,0,21
style.css,84,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,9
style.css,85,css,b21d2aca,hserykava,2025-04-12,23:04:10,-07:00,2025-04-12T23:04:10-07:00,0,0
style.css,86,css,ba79439c,hserykava,2025-04-12,23:08:25,-07:00,2025-04-12T23:08:25-07:00,0,3
style.css,87,css,ba79439c,hserykava,2025-04-12,23:08:25,-07:00,2025-04-12T23:08:25-07:00,0,15
style.css,88,css,ba79439c,hserykava,2025-04-12,23:08:25,-07:00,2025-04-12T23:08:25-07:00,0,0
style.css,89,css,ba79439c,hserykava,2025-04-12,23:08:25,-07:00,2025-04-12T23:08:25-07:00,0,23
style.css,90,css,ba79439c,hserykava,2025-04-12,23:08:25,-07:00,2025-04-12T23:08:25-07:00,0,16
style.css,91,css,ba79439c,hserykava,2025-04-12,23:08:25,-07:00,2025-04-12T23:08:25-07:00,0,18
style.css,92,css,ba79439c,hserykava,2025-04-12,23:08:25,-07:00,2025-04-12T23:08:25-07:00,0,0
style.css,93,css,46fd2bf5,hserykava,2025-04-12,23:37:25,-07:00,2025-04-12T23:37:25-07:00,0,15
style.css,94,css,46fd2bf5,hserykava,2025-04-12,23:37:25,-07:00,2025-04-12T23:37:25-07:00,0,17
style.css,95,css,46fd2bf5,hserykava,2025-04-12,23:37:25,-07:00,2025-04-12T23:37:25-07:00,0,18
style.css,96,css,46fd2bf5,hserykava,2025-04-12,23:37:25,-07:00,2025-04-12T23:37:25-07:00,0,19
style.css,97,css,46fd2bf5,hserykava,2025-04-12,23:37:25,-07:00,2025-04-12T23:37:25-07:00,0,0
style.css,98,css,46fd2bf5,hserykava,2025-04-12,23:37:25,-07:00,2025-04-12T23:37:25-07:00,0,0
style.css,99,css,46fd2bf5,hserykava,2025-04-12,23:37:25,-07:00,2025-04-12T23:37:25-07:00,0,20
style.css,100,css,46fd2bf5,hserykava,2025-04-12,23:37:25,-07:00,2025-04-12T23:37:25-07:00,0,20
